Source,Destination,Distance_km,Fuel_Price,Peak_Season,Travel_Mode,Hotel_Type,Food_Preference,Days,Travelers,Cost,"Weather (Sunny, Rainy, Snowy, Cloudy)","Holiday Type (Festival, Weekend, Vacation, Business)",Discount (Yes/No),Travel Insurance (Yes/No),Start_Date,End_Date,Trip_Duration,Start_Month,Start_Year,Travel_Class,Price_Multiplier
Indore,Surat,439,109.94,No,Train,Standard,Vegan,15,2,86371.71,Rainy,Vacation,No,Yes,18-03-2024,02-04-2024,15,3,2024,SL,0.7
Indore,Bhopal,219,110.32,No,Bus,Budget,Non-Veg,9,2,19491.7,Sunny,Weekend,No,No,19-08-2025,28-08-2025,9,8,2025,AC Sleeper,1.3
Lucknow,Kerala,2476,96.57,Yes,Flight,Standard,Veg,10,1,50507.03,Sunny,Weekend,Yes,Yes,31-01-2024,10-02-2024,10,1,2024,Economy,1
Mumbai,Surat,275,107.53,No,Car,Budget,Non-Veg,10,1,12542.92,Rainy,Weekend,No,No,18-08-2024,28-08-2024,10,8,2024,Economy,1
Bangalore,Chandigarh,2424,103.28,No,Train,Budget,Non-Veg,4,1,15120.75,Sunny,Weekend,No,No,02-03-2024,06-03-2024,4,3,2024,SL,0.7
Pune,Bhopal,780,106.67,No,Flight,Standard,Non-Veg,11,1,41674.44,Cloudy,Vacation,No,No,09-05-2025,20-05-2025,11,5,2025,Economy,1
Mumbai,Lucknow,1581,109.72,No,Flight,Budget,Non-Veg,14,1,33143.32,Sunny,Weekend,No,Yes,03-02-2024,17-02-2024,14,2,2024,Business,1.8
Kolkata,Surat,2112,107.29,No,Flight,Budget,Vegan,2,1,20751.23,Cloudy,Weekend,No,No,02-07-2024,04-07-2024,2,7,2024,Premium Economy,1.3
Agra,Indore,662,96.63,No,Flight,Standard,Non-Veg,3,1,11745.63,Sunny,Weekend,Yes,No,28-04-2024,01-05-2024,3,4,2024,Business,1.8
Rishikesh,Udaipur,1047,96.38,No,Flight,Standard,Veg,6,2,61815.57,Cloudy,Vacation,No,Yes,18-06-2024,24-06-2024,6,6,2024,Economy,1
Bangalore,Varanasi,1926,100.38,No,Flight,Budget,Vegan,12,1,35560.9,Sunny,Weekend,Yes,Yes,22-01-2025,03-02-2025,12,1,2025,Economy,1
Ahmedabad,Bhopal,718,97.41,No,Train,Luxury,Vegan,3,2,51202.51,Sunny,Festival,No,No,09-04-2024,12-04-2024,3,4,2024,SL,0.7
Bangalore,Jaipur,1848,102.83,Yes,Flight,Resort,Mixed,14,3,412397.42,Sunny,Weekend,No,No,08-12-2024,22-12-2024,14,12,2024,Economy,1
Delhi,Chandigarh,268,93.2,No,Car,Standard,Non-Veg,5,2,23293.61,Cloudy,Vacation,No,Yes,07-10-2024,12-10-2024,5,10,2024,Economy,1
Pune,Udaipur,859,106.57,No,Flight,Luxury,Veg,13,2,162722.01,Rainy,Weekend,No,No,20-05-2024,02-06-2024,13,5,2024,Economy,1
Bangalore,Jaipur,2041,102.46,Yes,Flight,Standard,Veg,4,1,42012.56,Cloudy,Weekend,No,No,13-12-2024,17-12-2024,4,12,2024,Business,1.8
Bhopal,Chennai,1363,110.8,No,Train,Luxury,Veg,5,4,179734.37,Cloudy,Vacation,No,Yes,04-07-2025,09-07-2025,5,7,2025,3A,1
Kolkata,Surat,1961,104.22,No,Flight,Resort,Vegan,2,1,30285.66,Cloudy,Weekend,No,No,20-06-2024,22-06-2024,2,6,2024,Premium Economy,1.3
Jaipur,Delhi,312,110.19,No,Car,Budget,Mixed,7,3,32798.1,Sunny,Business,No,No,26-04-2024,03-05-2024,7,4,2024,Economy,1
Lucknow,Chennai,1858,97.28,No,Flight,Resort,Non-Veg,9,3,248039.95,Rainy,Business,Yes,No,30-05-2025,08-06-2025,9,5,2025,Business,1.8
Indore,Bhopal,223,109.89,No,Train,Budget,Veg,15,4,49922.46,Sunny,Weekend,Yes,No,04-04-2024,19-04-2024,15,4,2024,2A,1.2
Mumbai,Nagpur,932,106.55,No,Flight,Luxury,Veg,12,1,66858.34,Sunny,Weekend,No,No,15-01-2025,27-01-2025,12,1,2025,Economy,1
Pune,Chennai,994,108.18,No,Bus,Standard,Veg,15,4,218155.74,Sunny,Festival,No,No,08-06-2025,23-06-2025,15,6,2025,Non-AC Sleeper,1.1
Bhopal,Chandigarh,1022,108.62,No,Train,Budget,Non-Veg,6,2,20457.67,Rainy,Weekend,No,No,25-01-2025,31-01-2025,6,1,2025,EconomyA,1.4
Kerala,Jaipur,2420,108.98,No,Car,Budget,Vegan,5,2,25798.99,Rainy,Weekend,No,No,25-08-2024,30-08-2024,5,8,2024,Economy,1
Surat,Pune,408,98.85,No,Flight,Budget,Non-Veg,11,3,53628.67,Sunny,Vacation,No,Yes,22-11-2024,03-12-2024,11,11,2024,Economy,1
Jaipur,Kolkata,1514,109.78,No,Train,Standard,Veg,12,2,106625.59,Cloudy,Vacation,No,Yes,24-06-2024,06-07-2024,12,6,2024,SL,0.7
Indore,Hyderabad,766,109.17,No,Car,Standard,Veg,6,3,61118.09,Rainy,Weekend,Yes,No,23-10-2024,29-10-2024,6,10,2024,Economy,1
Agra,Nagpur,815,96.32,No,Flight,Standard,Veg,13,1,40262.1,Sunny,Weekend,No,No,24-05-2024,06-06-2024,13,5,2024,Business,1.8
Kerala,Bhopal,1786,105.7,No,Flight,Standard,Non-Veg,2,4,64771.22,Sunny,Vacation,Yes,No,24-02-2025,26-02-2025,2,2,2025,Economy,1
Lucknow,Bhopal,584,96.14,No,Car,Standard,Veg,11,1,32973.23,Rainy,Vacation,No,No,31-03-2025,11-04-2025,11,3,2025,Economy,1
Lucknow,Goa,1930,98.63,No,Flight,Standard,Veg,10,1,47435.98,Sunny,Weekend,Yes,No,18-03-2024,28-03-2024,10,3,2024,Premium Economy,1.3
Kolkata,Chennai,1600,105.28,No,Train,Budget,Veg,14,3,54747.77,Rainy,Business,No,No,05-04-2024,19-04-2024,14,4,2024,2A,1.2
Jaipur,Varanasi,945,110.74,No,Flight,Standard,Mixed,12,1,57451.89,Cloudy,Vacation,No,No,10-09-2024,22-09-2024,12,9,2024,Economy,1
Surat,Mumbai,291,97.19,No,Car,Luxury,Mixed,13,2,173703.61,Sunny,Business,No,Yes,08-05-2024,21-05-2024,13,5,2024,Economy,1
Pune,Agra,1378,109.37,Yes,Bus,Resort,Veg,6,2,211306.31,Cloudy,Vacation,No,Yes,11-03-2025,17-03-2025,6,3,2025,AC Seater,1.15
Kerala,Kolkata,2341,108.22,No,Car,Budget,Vegan,14,5,101464.15,Rainy,Vacation,Yes,Yes,31-03-2024,14-04-2024,14,3,2024,Economy,1
Bangalore,Pune,849,101.94,No,Flight,Standard,Non-Veg,11,2,78650.21,Cloudy,Vacation,Yes,Yes,24-02-2024,06-03-2024,11,2,2024,Premium Economy,1.3
Chandigarh,Ahmedabad,1051,94.91,No,Flight,Budget,Non-Veg,3,2,25494.8,Sunny,Vacation,No,No,21-02-2025,24-02-2025,3,2,2025,Premium Economy,1.3
Delhi,Mumbai,1304,95.89,No,Flight,Standard,Mixed,9,1,54139.26,Rainy,Business,No,Yes,09-03-2024,18-03-2024,9,3,2024,Premium Economy,1.3
Chennai,Jaipur,1782,104.73,No,Flight,Standard,Veg,9,1,55498.38,Sunny,Weekend,No,Yes,09-09-2024,18-09-2024,9,9,2024,Premium Economy,1.3
Nagpur,Bangalore,1055,105.63,No,Flight,Luxury,Veg,2,1,25835.13,Cloudy,Business,No,Yes,10-08-2024,12-08-2024,2,8,2024,Premium Economy,1.3
Udaipur,Bhopal,495,108.32,No,Train,Standard,Mixed,5,1,12259.55,Sunny,Vacation,Yes,Yes,03-09-2024,08-09-2024,5,9,2024,3A,1
Bangalore,Chennai,341,101.88,No,Car,Budget,Mixed,5,2,14214,Cloudy,Weekend,No,Yes,14-12-2024,19-12-2024,5,12,2024,Economy,1
Indore,Nagpur,449,111.93,No,Car,Budget,Veg,8,1,10117.07,Cloudy,Weekend,No,No,15-06-2024,23-06-2024,8,6,2024,Economy,1
Udaipur,Pune,932,108.56,No,Flight,Luxury,Veg,10,1,70448,Rainy,Vacation,No,No,12-05-2025,22-05-2025,10,5,2025,Economy,1
Hyderabad,Agra,1445,111.24,No,Flight,Standard,Veg,4,2,53901.61,Sunny,Weekend,No,No,07-05-2024,11-05-2024,4,5,2024,Business,1.8
Pune,Bangalore,889,105.79,No,Train,Standard,Veg,6,2,48362.86,Cloudy,Business,No,No,28-03-2024,03-04-2024,6,3,2024,SL,0.7
Kerala,Jaipur,2242,106.19,Yes,Flight,Standard,Non-Veg,13,3,215822.36,Sunny,Vacation,No,No,29-01-2024,11-02-2024,13,1,2024,Economy,1
Lucknow,Rishikesh,620,98.29,No,Car,Budget,Veg,13,1,16267.68,Sunny,Weekend,No,No,14-07-2024,27-07-2024,13,7,2024,Economy,1
Agra,Udaipur,685,95.02,No,Car,Budget,Non-Veg,14,2,34454.85,Cloudy,Vacation,Yes,No,15-09-2024,29-09-2024,14,9,2024,Economy,1
Surat,Pune,347,95.18,No,Car,Budget,Veg,12,3,30670.64,Sunny,Weekend,Yes,Yes,17-02-2025,01-03-2025,12,2,2025,Economy,1
Kerala,Udaipur,1884,106.58,No,Flight,Budget,Non-Veg,13,1,44654.8,Cloudy,Festival,No,No,11-06-2025,24-06-2025,13,6,2025,Economy,1
Chennai,Indore,1392,103.3,No,Flight,Standard,Non-Veg,2,5,101224.24,Rainy,Vacation,No,No,11-02-2024,13-02-2024,2,2,2024,Business,1.8
Nagpur,Bhopal,363,108.92,No,Train,Standard,Veg,7,2,38960.24,Sunny,Vacation,Yes,No,13-08-2024,20-08-2024,7,8,2024,2A,1.2
Lucknow,Goa,1862,98.83,Yes,Train,Budget,Veg,7,1,16415.64,Cloudy,Festival,Yes,Yes,03-12-2024,10-12-2024,7,12,2024,SL,0.7
Ahmedabad,Surat,255,98.97,No,Car,Standard,Non-Veg,5,3,45169.46,Cloudy,Vacation,Yes,Yes,23-11-2024,28-11-2024,5,11,2024,Economy,1
Surat,Hyderabad,857,98.73,No,Car,Standard,Veg,14,1,59610.94,Cloudy,Business,No,Yes,18-02-2024,03-03-2024,14,2,2024,Economy,1
Pune,Mumbai,138,106.91,No,Train,Standard,Non-Veg,15,5,208246.56,Cloudy,Business,Yes,No,08-08-2024,23-08-2024,15,8,2024,3A,1
Chennai,Bangalore,366,103.11,No,Train,Standard,Non-Veg,2,5,36328.8,Sunny,Business,No,Yes,30-06-2024,02-07-2024,2,6,2024,SL,0.7
Rishikesh,Goa,1932,96.21,Yes,Flight,Resort,Vegan,12,1,167019.3,Cloudy,Festival,No,No,01-01-2025,13-01-2025,12,1,2025,Premium Economy,1.3
Mumbai,Chennai,1460,107.63,No,Train,Standard,Vegan,13,4,198446.11,Rainy,Vacation,No,Yes,10-01-2024,23-01-2024,13,1,2024,SL,0.7
Ahmedabad,Surat,263,96.47,No,Train,Budget,Mixed,7,2,13958.28,Rainy,Vacation,Yes,No,09-07-2025,16-07-2025,7,7,2025,2A,1.2
Delhi,Kolkata,1572,96.09,No,Car,Budget,Veg,13,3,57328.68,Sunny,Weekend,Yes,Yes,11-08-2024,24-08-2024,13,8,2024,Economy,1
Udaipur,Mumbai,702,108.3,No,Bus,Budget,Veg,11,3,46858.35,Sunny,Business,No,No,10-11-2024,21-11-2024,11,11,2024,AC Sleeper,1.3
Lucknow,Jaipur,600,97.91,No,Train,Luxury,Mixed,4,3,115283.46,Sunny,Weekend,No,Yes,22-06-2024,26-06-2024,4,6,2024,SL,0.7
Surat,Kolkata,2132,97.61,No,Flight,Standard,Veg,15,1,71556.34,Sunny,Weekend,No,No,06-01-2025,21-01-2025,15,1,2025,Business,1.8
Varanasi,Agra,678,95.79,Yes,Car,Budget,Veg,7,1,12669.82,Sunny,Weekend,No,No,01-11-2024,08-11-2024,7,11,2024,Economy,1
Ahmedabad,Delhi,934,97.44,No,Flight,Resort,Non-Veg,6,4,318903.62,Sunny,Weekend,No,No,01-07-2025,07-07-2025,6,7,2025,Premium Economy,1.3
Ahmedabad,Agra,823,97.96,No,Train,Standard,Mixed,5,2,30188.16,Rainy,Vacation,No,No,09-04-2024,14-04-2024,5,4,2024,2A,1.2
Kerala,Agra,2282,108.23,No,Train,Budget,Veg,12,3,46164.48,Sunny,Weekend,Yes,Yes,29-05-2024,10-06-2024,12,5,2024,SL,0.7
