Trip_ID,Source,Destination,Distance_km,Fuel_Price,Peak_Season,Travel_Mode,Hotel_Type,Food_Preference,Days,Travelers,Cost,"Weather (Sunny, Rainy, Snowy, Cloudy)","Holiday Type (Festival, Weekend, Vacation, Business)",Discount (Yes/No),Travel Insurance (Yes/No),Ratings (1–5 stars),Start_Date,End_Date,Avg_Cost_per_Traveler
1,Indore,Surat,439,109.94,No,Train,Standard,Vegan,15,2,86371.71,Rainy,Vacation,No,Yes,5,2024-03-18,2024-04-02,43185.86
2,Indore,Bhopal,219,110.32,No,Bus,Budget,Non-Veg,9,2,19491.7,Sunny,Weekend,No,No,5,2025-08-19,2025-08-28,9745.85
3,Lucknow,Kerala,2476,96.57,Yes,Flight,Standard,Veg,10,1,50507.03,Sunny,Weekend,Yes,Yes,3,2024-01-31,2024-02-10,50507.03
4,Mumbai,Surat,275,107.53,No,Car,Budget,Non-Veg,10,1,12542.92,Rainy,Weekend,No,No,3,2024-08-18,2024-08-28,12542.92
5,Bangalore,Chandigarh,2424,103.28,No,Train,Budget,Non-Veg,4,1,15120.75,Sunny,Weekend,No,No,4,2024-03-02,2024-03-06,15120.75
6,Pune,Bhopal,780,106.67,No,Flight,Standard,Non-Veg,11,1,41674.44,Cloudy,Vacation,No,No,5,2025-05-09,2025-05-20,41674.44
7,Mumbai,Lucknow,1581,109.72,No,Flight,Budget,Non-Veg,14,1,33143.32,Sunny,Weekend,No,Yes,4,2024-02-03,2024-02-17,33143.32
8,Kolkata,Surat,2112,107.29,No,Flight,Budget,Vegan,2,1,20751.23,Cloudy,Weekend,No,No,4,2024-07-02,2024-07-04,20751.23
9,Agra,Indore,662,96.63,No,Flight,Standard,Non-Veg,3,1,11745.63,Sunny,Weekend,Yes,No,5,2024-04-28,2024-05-01,11745.63
10,Rishikesh,Udaipur,1047,96.38,No,Flight,Standard,Veg,6,2,61815.57,Cloudy,Vacation,No,Yes,3,2024-06-18,2024-06-24,30907.79
11,Bangalore,Varanasi,1926,100.38,No,Flight,Budget,Vegan,12,1,35560.9,Sunny,Weekend,Yes,Yes,4,2025-01-22,2025-02-03,35560.9
12,Ahmedabad,Bhopal,718,97.41,No,Train,Luxury,Vegan,3,2,51202.51,Sunny,Festival,No,No,1,2024-04-09,2024-04-12,25601.25
13,Bangalore,Jaipur,1848,102.83,Yes,Flight,Resort,Mixed,14,3,412397.42,Sunny,Weekend,No,No,5,2024-12-08,2024-12-22,137465.81
14,Delhi,Chandigarh,268,93.2,No,Car,Standard,Non-Veg,5,2,23293.61,Cloudy,Vacation,No,Yes,4,2024-10-07,2024-10-12,11646.8
15,Pune,Udaipur,859,106.57,No,Flight,Luxury,Veg,13,2,162722.01,Rainy,Weekend,No,No,5,2024-05-20,2024-06-02,81361.0
16,Bangalore,Jaipur,2041,102.46,Yes,Flight,Standard,Veg,4,1,42012.56,Cloudy,Weekend,No,No,3,2024-12-13,2024-12-17,42012.56
17,Bhopal,Chennai,1363,110.8,No,Train,Luxury,Veg,5,4,179734.37,Cloudy,Vacation,No,Yes,5,2025-07-04,2025-07-09,44933.59
18,Kolkata,Surat,1961,104.22,No,Flight,Resort,Vegan,2,1,30285.66,Cloudy,Weekend,No,No,3,2024-06-20,2024-06-22,30285.66
19,Jaipur,Delhi,312,110.19,No,Car,Budget,Mixed,7,3,32798.1,Sunny,Business,No,No,3,2024-04-26,2024-05-03,10932.7
20,Lucknow,Chennai,1858,97.28,No,Flight,Resort,Non-Veg,9,3,248039.95,Rainy,Business,Yes,No,2,2025-05-30,2025-06-08,82679.98
21,Indore,Bhopal,223,109.89,No,Train,Budget,Veg,15,4,49922.46,Sunny,Weekend,Yes,No,5,2024-04-04,2024-04-19,12480.61
22,Mumbai,Nagpur,932,106.55,No,Flight,Luxury,Veg,12,1,66858.34,Sunny,Weekend,No,No,4,2025-01-15,2025-01-27,66858.34
23,Pune,Chennai,994,108.18,No,Bus,Standard,Veg,15,4,218155.74,Sunny,Festival,No,No,3,2025-06-08,2025-06-23,54538.93
24,Bhopal,Chandigarh,1022,108.62,No,Train,Budget,Non-Veg,6,2,20457.67,Rainy,Weekend,No,No,4,2025-01-25,2025-01-31,10228.84
25,Kerala,Jaipur,2420,108.98,No,Car,Budget,Vegan,5,2,25798.99,Rainy,Weekend,No,No,2,2024-08-25,2024-08-30,12899.49
26,Surat,Pune,408,98.85,No,Flight,Budget,Non-Veg,11,3,53628.67,Sunny,Vacation,No,Yes,5,2024-11-22,2024-12-03,17876.22
27,Jaipur,Kolkata,1514,109.78,No,Train,Standard,Veg,12,2,106625.59,Cloudy,Vacation,No,Yes,5,2024-06-24,2024-07-06,53312.8
28,Indore,Hyderabad,766,109.17,No,Car,Standard,Veg,6,3,61118.09,Rainy,Weekend,Yes,No,3,2024-10-23,2024-10-29,20372.7
29,Agra,Nagpur,815,96.32,No,Flight,Standard,Veg,13,1,40262.1,Sunny,Weekend,No,No,5,2024-05-24,2024-06-06,40262.1
30,Kerala,Bhopal,1786,105.7,No,Flight,Standard,Non-Veg,2,4,64771.22,Sunny,Vacation,Yes,No,4,2025-02-24,2025-02-26,16192.8
31,Lucknow,Bhopal,584,96.14,No,Car,Standard,Veg,11,1,32973.23,Rainy,Vacation,No,No,4,2025-03-31,2025-04-11,32973.23
32,Lucknow,Goa,1930,98.63,No,Flight,Standard,Veg,10,1,47435.98,Sunny,Weekend,Yes,No,3,2024-03-18,2024-03-28,47435.98
33,Kolkata,Chennai,1600,105.28,No,Train,Budget,Veg,14,3,54747.77,Rainy,Business,No,No,4,2024-04-05,2024-04-19,18249.26
34,Jaipur,Varanasi,945,110.74,No,Flight,Standard,Mixed,12,1,57451.89,Cloudy,Vacation,No,No,3,2024-09-10,2024-09-22,57451.89
35,Surat,Mumbai,291,97.19,No,Car,Luxury,Mixed,13,2,173703.61,Sunny,Business,No,Yes,3,2024-05-08,2024-05-21,86851.8
36,Pune,Agra,1378,109.37,Yes,Bus,Resort,Veg,6,2,211306.31,Cloudy,Vacation,No,Yes,4,2025-03-11,2025-03-17,105653.16
37,Kerala,Kolkata,2341,108.22,No,Car,Budget,Vegan,14,5,101464.15,Rainy,Vacation,Yes,Yes,5,2024-03-31,2024-04-14,20292.83
38,Bangalore,Pune,849,101.94,No,Flight,Standard,Non-Veg,11,2,78650.21,Cloudy,Vacation,Yes,Yes,2,2024-02-24,2024-03-06,39325.1
39,Chandigarh,Ahmedabad,1051,94.91,No,Flight,Budget,Non-Veg,3,2,25494.8,Sunny,Vacation,No,No,4,2025-02-21,2025-02-24,12747.4
40,Delhi,Mumbai,1304,95.89,No,Flight,Standard,Mixed,9,1,54139.26,Rainy,Business,No,Yes,4,2024-03-09,2024-03-18,54139.26
41,Chennai,Jaipur,1782,104.73,No,Flight,Standard,Veg,9,1,55498.38,Sunny,Weekend,No,Yes,4,2024-09-09,2024-09-18,55498.38
42,Nagpur,Bangalore,1055,105.63,No,Flight,Luxury,Veg,2,1,25835.13,Cloudy,Business,No,Yes,5,2024-08-10,2024-08-12,25835.13
43,Udaipur,Bhopal,495,108.32,No,Train,Standard,Mixed,5,1,12259.55,Sunny,Vacation,Yes,Yes,1,2024-09-03,2024-09-08,12259.55
44,Bangalore,Chennai,341,101.88,No,Car,Budget,Mixed,5,2,14214.0,Cloudy,Weekend,No,Yes,3,2024-12-14,2024-12-19,7107.0
45,Indore,Nagpur,449,111.93,No,Car,Budget,Veg,8,1,10117.07,Cloudy,Weekend,No,No,3,2024-06-15,2024-06-23,10117.07
46,Udaipur,Pune,932,108.56,No,Flight,Luxury,Veg,10,1,70448.0,Rainy,Vacation,No,No,4,2025-05-12,2025-05-22,70448.0
47,Hyderabad,Agra,1445,111.24,No,Flight,Standard,Veg,4,2,53901.61,Sunny,Weekend,No,No,4,2024-05-07,2024-05-11,26950.81
48,Pune,Bangalore,889,105.79,No,Train,Standard,Veg,6,2,48362.86,Cloudy,Business,No,No,5,2024-03-28,2024-04-03,24181.43
49,Kerala,Jaipur,2242,106.19,Yes,Flight,Standard,Non-Veg,13,3,215822.36,Sunny,Vacation,No,No,4,2024-01-29,2024-02-11,71940.79
50,Lucknow,Rishikesh,620,98.29,No,Car,Budget,Veg,13,1,16267.68,Sunny,Weekend,No,No,5,2024-07-14,2024-07-27,16267.68
51,Agra,Udaipur,685,95.02,No,Car,Budget,Non-Veg,14,2,34454.85,Cloudy,Vacation,Yes,No,3,2024-09-15,2024-09-29,17227.42
52,Surat,Pune,347,95.18,No,Car,Budget,Veg,12,3,30670.64,Sunny,Weekend,Yes,Yes,4,2025-02-17,2025-03-01,10223.55
53,Kerala,Udaipur,1884,106.58,No,Flight,Budget,Non-Veg,13,1,44654.8,Cloudy,Festival,No,No,5,2025-06-11,2025-06-24,44654.8
54,Chennai,Indore,1392,103.3,No,Flight,Standard,Non-Veg,2,5,101224.24,Rainy,Vacation,No,No,5,2024-02-11,2024-02-13,20244.85
55,Nagpur,Bhopal,363,108.92,No,Train,Standard,Veg,7,2,38960.24,Sunny,Vacation,Yes,No,3,2024-08-13,2024-08-20,19480.12
56,Lucknow,Goa,1862,98.83,Yes,Train,Budget,Veg,7,1,16415.64,Cloudy,Festival,Yes,Yes,3,2024-12-03,2024-12-10,16415.64
57,Ahmedabad,Surat,255,98.97,No,Car,Standard,Non-Veg,5,3,45169.46,Cloudy,Vacation,Yes,Yes,4,2024-11-23,2024-11-28,15056.49
58,Surat,Hyderabad,857,98.73,No,Car,Standard,Veg,14,1,59610.94,Cloudy,Business,No,Yes,3,2024-02-18,2024-03-03,59610.94
59,Pune,Mumbai,138,106.91,No,Train,Standard,Non-Veg,15,5,208246.56,Cloudy,Business,Yes,No,5,2024-08-08,2024-08-23,41649.31
60,Chennai,Bangalore,366,103.11,No,Train,Standard,Non-Veg,2,5,36328.8,Sunny,Business,No,Yes,4,2024-06-30,2024-07-02,7265.76
61,Rishikesh,Goa,1932,96.21,Yes,Flight,Resort,Vegan,12,1,167019.3,Cloudy,Festival,No,No,5,2025-01-01,2025-01-13,167019.3
62,Mumbai,Chennai,1460,107.63,No,Train,Standard,Vegan,13,4,198446.11,Rainy,Vacation,No,Yes,3,2024-01-10,2024-01-23,49611.53
63,Ahmedabad,Surat,263,96.47,No,Train,Budget,Mixed,7,2,13958.28,Rainy,Vacation,Yes,No,3,2025-07-09,2025-07-16,6979.14
64,Delhi,Kolkata,1572,96.09,No,Car,Budget,Veg,13,3,57328.68,Sunny,Weekend,Yes,Yes,5,2024-08-11,2024-08-24,19109.56
65,Udaipur,Mumbai,702,108.3,No,Bus,Budget,Veg,11,3,46858.35,Sunny,Business,No,No,3,2024-11-10,2024-11-21,15619.45
66,Lucknow,Jaipur,600,97.91,No,Train,Luxury,Mixed,4,3,115283.46,Sunny,Weekend,No,Yes,5,2024-06-22,2024-06-26,38427.82
67,Surat,Kolkata,2132,97.61,No,Flight,Standard,Veg,15,1,71556.34,Sunny,Weekend,No,No,4,2025-01-06,2025-01-21,71556.34
68,Varanasi,Agra,678,95.79,Yes,Car,Budget,Veg,7,1,12669.82,Sunny,Weekend,No,No,3,2024-11-01,2024-11-08,12669.82
69,Ahmedabad,Delhi,934,97.44,No,Flight,Resort,Non-Veg,6,4,318903.62,Sunny,Weekend,No,No,4,2025-07-01,2025-07-07,79725.91
70,Ahmedabad,Agra,823,97.96,No,Train,Standard,Mixed,5,2,30188.16,Rainy,Vacation,No,No,2,2024-04-09,2024-04-14,15094.08
71,Kerala,Agra,2282,108.23,No,Train,Budget,Veg,12,3,46164.48,Sunny,Weekend,Yes,Yes,4,2024-05-29,2024-06-10,15388.16
72,Chennai,Delhi,2052,105.84,No,Train,Budget,Mixed,4,4,41517.44,Cloudy,Vacation,No,Yes,3,2025-06-16,2025-06-20,10379.36
73,Goa,Bhopal,1052,95.32,No,Train,Budget,Non-Veg,8,1,10373.44,Sunny,Vacation,Yes,No,4,2024-07-19,2024-07-27,10373.44
74,Bangalore,Kerala,468,104.89,No,Train,Standard,Non-Veg,10,4,91710.33,Cloudy,Weekend,No,Yes,3,2025-02-14,2025-02-24,22927.58
75,Udaipur,Rishikesh,882,107.79,Yes,Train,Standard,Vegan,15,3,218869.57,Sunny,Festival,No,Yes,5,2025-05-26,2025-06-10,72956.52
76,Ahmedabad,Indore,406,98.88,No,Train,Budget,Non-Veg,9,2,26033.59,Sunny,Vacation,No,No,4,2025-02-25,2025-03-06,13016.79
77,Chennai,Pune,1082,101.35,No,Car,Standard,Veg,8,1,23576.13,Cloudy,Vacation,Yes,Yes,3,2024-09-03,2024-09-11,23576.13
78,Agra,Jaipur,255,95.41,Yes,Bus,Luxury,Vegan,2,5,85221.92,Rainy,Vacation,No,Yes,3,2024-10-09,2024-10-11,17044.38
79,Surat,Kolkata,2213,97.93,No,Flight,Standard,Veg,13,2,132866.76,Sunny,Festival,Yes,Yes,3,2025-05-24,2025-06-06,66433.38
80,Jaipur,Delhi,276,110.8,No,Car,Budget,Veg,9,3,38137.9,Cloudy,Business,No,No,5,2024-09-18,2024-09-27,12712.63
81,Goa,Hyderabad,629,97.61,No,Flight,Standard,Veg,3,1,18167.88,Sunny,Festival,No,No,4,2024-08-25,2024-08-28,18167.88
82,Chennai,Ahmedabad,1783,105.52,No,Flight,Budget,Veg,15,3,84900.55,Rainy,Vacation,No,No,5,2025-08-11,2025-08-26,28300.18
83,Indore,Chandigarh,1000,108.8,No,Train,Luxury,Veg,12,1,69619.62,Sunny,Festival,Yes,Yes,4,2024-03-04,2024-03-16,69619.62
84,Kolkata,Bangalore,1928,105.85,No,Flight,Budget,Veg,8,1,30822.04,Sunny,Business,Yes,Yes,4,2025-07-29,2025-08-06,30822.04
85,Bangalore,Chandigarh,2595,102.92,No,Train,Resort,Vegan,13,1,135260.76,Cloudy,Weekend,Yes,Yes,3,2024-05-26,2024-06-08,135260.76
86,Bangalore,Chennai,342,104.82,No,Train,Resort,Non-Veg,14,2,388909.53,Rainy,Business,No,No,3,2024-01-28,2024-02-11,194454.77
87,Kolkata,Pune,1979,105.54,No,Flight,Budget,Non-Veg,3,3,72963.91,Cloudy,Festival,No,No,3,2024-12-17,2024-12-20,24321.3
88,Jaipur,Mumbai,1061,111.81,No,Train,Luxury,Non-Veg,6,1,56876.34,Cloudy,Vacation,No,No,5,2025-06-01,2025-06-07,56876.34
89,Nagpur,Rishikesh,1267,104.05,No,Flight,Budget,Veg,6,1,20628.45,Cloudy,Weekend,Yes,No,1,2025-06-25,2025-07-01,20628.45
90,Ahmedabad,Surat,262,95.74,No,Car,Standard,Mixed,15,3,123710.75,Rainy,Vacation,No,No,4,2024-04-14,2024-04-29,41236.92
91,Hyderabad,Surat,832,108.32,No,Flight,Budget,Non-Veg,10,1,22279.94,Sunny,Weekend,No,No,2,2024-01-06,2024-01-16,22279.94
